#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
61,If He Wanted To He Would,Kylie Morgan,2022-07-01,90,62,66,-5,73,2:54,10,73,147,5730,Country
62,She Had Me At Heads Carolina,Cole Swindell,2022-04-08,135,91,61,-3,72,3:26,12,80,70,7626,Country
63,We Got History,Mitchell Tenpenny,2022-09-16,98,83,63,-6,31,3:24,0,72,45,8862,Country
64,Feel Like This,Ingrid Andress,2022-08-26,130,61,54,-5,34,3:16,14,62,93,1433,Country
65,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,122,57,58,-7,39,3:28,58,82,97,956,Country
66,wait in the truck (feat. Lainey Wilson),HARDY,2022-08-26,140,47,53,-7,23,4:38,28,75,71,9552,Country
67,Something in the Orange,Zach Bryan,2022-04-22,175,19,37,-12,15,3:48,56,88,57,5517,Country
68,Out In The Middle,Zac Brown Band,2022-06-22,166,87,52,-3,62,2:46,2,69,33,8523,Country
69,Tennessee Orange,Megan Moroney,2022-09-02,156,49,38,-7,27,3:43,13,77,369,5956,Country
70,Soul,Lee Brice,2020-11-20,121,64,79,-8,76,2:48,36,76,34,8269,Country
71,Dancin' In The Moonlight (feat. Lauren Alaina),Chris Lane,2022-06-10,122,83,59,-5,56,3:19,2,73,370,164,Country
72,down home,Jimmie Allen,2022-03-08,146,82,58,-4,57,3:22,1,69,72,779,Country
73,Take It Slow,Conner Smith,2021-09-10,116,84,59,-4,52,2:43,8,73,98,8661,Country
74,Every Night Every Morning,Maddie & Tae,2022-06-24,124,75,62,-5,62,3:17,1,72,46,3182,Country
75,Don't Come Lookin',Jackson Dean,2021-04-30,156,86,53,-6,68,3:08,1,69,148,3397,Country
76,Gold,Dierks Bentley,2022-07-29,115,87,67,-4,95,2:48,5,70,8,411,Country
77,For What It’s Worth,BRELAND,2022-09-09,146,75,66,-5,68,2:55,6,68,99,4022,Country
78,Everything She Ain’t,Hailey Whitters,2022-01-14,122,62,80,-6,81,2:32,18,74,371,6190,Country
79,Brown Eyes Baby,Keith Urban,2022-07-08,142,83,52,-7,58,3:45,9,69,3,6019,Country
80,Human,Cody Johnson,2021-10-08,84,65,40,-7,27,3:42,18,72,100,1797,Country
81,What He Didn't Do,Carly Pearce,2021-09-17,138,63,63,-6,56,3:11,26,74,58,8574,Country
82,Hell Yeah,Little Big Town,2022-04-11,172,60,58,-5,91,2:56,15,68,35,7349,Country
83,You,Dan + Shay,2021-08-13,170,57,54,-6,52,3:16,12,71,47,4346,Country
84,Pickup,MacKenzie Porter,2021-11-19,97,84,61,-4,86,2:48,45,71,372,4099,Country
85,Doing Life With Me,Eric Church,2020-12-11,81,60,65,-10,61,3:16,73,69,22,5199,Country
86,Son Of A Sinner,Jelly Roll,2021-09-17,86,54,37,-7,33,3:52,4,76,373,322,Country
87,I Can't Love You Anymore,Maren Morris,2022-03-25,176,59,34,-5,40,2:49,22,70,36,7062,Country
88,Don't It Sound Alright,Adam Doleac,2022-04-01,130,55,64,-5,49,3:39,4,69,149,212,Country
89,IF YOU GO DOWN (I'M GOIN' DOWN TOO),Kelsea Ballerini,2022-09-23,144,86,68,-4,97,2:46,45,65,11,7758,Country
90,I Wonder,Russell Dickerson,2022-09-30,202,85,37,-4,61,3:26,9,67,37,9619,Country
91,You Didn’t,Brett Young,2021-06-04,82,47,62,-8,27,3:46,4,69,101,1005,Country
92,Thank God,Kane Brown,2022-09-09,100,46,74,-9,44,2:55,70,77,23,1932,Country
93,Girl On Fire,Kameron Marlowe,2022-06-10,82,76,59,-5,41,2:53,44,69,104,3238,Country
94,Half Of Me,Thomas Rhett,2022-04-01,112,84,57,-5,67,3:03,1,72,12,2756,Country
95,Worth A Shot (feat. Dierks Bentley),Elle King,2022-05-13,160,81,55,-5,46,3:32,0,69,105,5597,Country
96,"Going, Going, Gone",Luke Combs,2022-06-24,160,56,56,-6,33,2:57,54,75,161,2154,Country
97,Country On,Luke Bryan,2022-07-01,156,75,52,-5,52,3:56,17,71,17,4973,Country
98,Try Losing One,Tyler Braden,2021-11-19,140,40,46,-8,10,3:40,55,69,150,8927,Country
99,Strange,Miranda Lambert,2022-04-29,112,63,72,-7,50,3:31,6,69,0,4239,Country
100,That's What Tequila Does,Jason Aldean,2021-11-12,156,80,52,-5,49,3:09,22,70,5,3706,Country
101,Wreckage,Nate Smith,2022-11-18,145,57,56,-5,16,3:33,5,59,397,3248,Country
102,Next Thing You Know,Jordan Davis,2022-08-12,79,60,56,-8,41,2:55,65,74,190,4806,Country
103,Somethin' Bout You,Mickey Guyton,2022-08-26,112,83,67,-3,67,2:37,10,57,151,3520,Country
104,Hurt No More,CHASE WRIGHT,2022-10-14,180,86,45,-3,55,2:57,18,61,374,2644,Country
105,Ain't Missin' You,Dylan Schneider,2022-09-16,132,80,59,-6,51,2:56,8,63,375,2387,Country
106,I Still Love You,Jessie James Decker,2022-10-21,130,52,70,-6,60,3:44,77,60,152,6254,Country
107,Girls Like You,Spencer Crandall,2022-10-21,94,65,58,-4,18,3:01,22,48,422,8671,Country
108,Why We Broke Up,Peytan Porter,2022-06-24,112,60,61,-7,36,2:57,25,53,153,3392,Country
109,One Of Us,Matt Stell,2022-09-30,90,81,59,-3,59,3:02,4,52,154,7698,Country
110,If I Was Your Lover,Kip Moore,2022-09-16,116,87,61,-6,46,3:40,1,58,48,9098,Country
111,Up To No Good,Warren Zeiders,2022-07-22,156,87,52,-5,75,2:14,9,63,155,9722,Country
112,Busy,Robyn Ottolini,2022-09-30,80,63,62,-6,60,2:49,0,50,156,9238,Country
113,One Day Tonight,Noah Thompson,2022-05-13,109,52,62,-8,60,2:46,33,64,428,6874,Country
114,Thought You Should Know,Morgan Wallen,2022-05-06,140,70,53,-6,51,3:36,49,78,225,8104,Country
115,More Than Me,Ian Munsick,2022-08-05,146,75,50,-5,46,3:30,49,62,429,5138,Country
116,Country Can,Hannah Ellis,2022-08-12,170,76,45,-4,34,2:53,9,54,157,2793,Country
117,God Gave Me A Girl,Russell Dickerson,2022-11-04,142,85,52,-5,37,3:07,25,50,227,3846,Country
118,X's,Georgia Webster,2022-09-23,184,69,49,-5,59,2:35,2,56,430,8076,Country
119,It Matters To Her,Scotty McCreery,2021-09-17,105,75,52,-5,48,2:52,1,63,59,4030,Country
120,Damn You,Ella Langley,2022-04-01,77,88,58,-3,38,3:03,5,59,431,5191,Country
121,Marry That Girl,Easton Corbin,2022-03-03,88,40,70,-7,42,3:11,76,61,432,458,Country
122,here lies country music,HARDY,2022-10-10,70,67,32,-5,17,3:41,31,62,398,5431,Country
123,Sundown Somewhere,Restless Road,2022-10-07,114,89,60,-4,71,2:43,4,61,433,1313,Country
124,Rich Man,Little Big Town,2022-07-22,76,35,68,-10,25,3:30,56,53,228,5772,Country
125,Whatcha Know About That,Lily Rose,2022-10-07,116,82,58,-4,55,2:49,5,55,158,5560,Country
126,Go Around,Kane Brown,2022-08-16,124,76,56,-6,37,3:24,3,60,191,6180,Country
127,Where Did All The Cowboys Go,Abby Anderson,2022-03-25,81,16,61,-11,39,3:16,93,52,436,8392,Country
128,All Gas No Brakes,Ray Fulcher,2022-04-29,116,83,64,-6,85,3:12,9,53,159,3335,Country
129,"You, Me, And Whiskey",Justin Moore,2022-10-07,144,88,56,-4,42,3:08,8,64,73,6456,Country
130,Life,Florida Georgia Line,2022-10-14,143,66,49,-6,38,3:52,7,61,18,5565,Country
131,Buy A Girl A Drink,Travis Denning,2022-07-08,77,75,54,-6,49,3:16,19,59,160,9439,Country
132,We Were Cowboys,Kameron Marlowe,2022-08-26,76,61,45,-6,9,3:40,33,57,564,7567,Country
133,I Don't Go Back,Kassi Ashton,2022-06-03,128,63,63,-4,37,3:21,16,58,437,4143,Country
134,One Too,Dallas Smith,2022-05-27,85,52,46,-7,34,3:21,51,55,438,6764,Country
135,Vegas,Erin Kinsey,2022-07-15,135,67,51,-4,65,3:14,10,53,166,9366,Country
136,How You Know You Made It,Corey Kent,2022-10-14,152,71,47,-4,45,3:38,5,57,167,5999,Country
137,Up There Down Here,Jake Owen,2022-03-25,150,90,52,-4,57,3:20,23,58,49,306,Country
138,Hell Of A Way To Go,Riley Green,2022-05-13,150,74,48,-5,67,2:46,3,66,168,3101,Country
