#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
41,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",Johannes Brahms,2017-04-07,69,1,30,-31,6,6:19,99,63,22,2439,Classical
42,"Petite Suite de Concert, Op. 77: III. Un sonnet d'amour",Samuel Coleridge-Taylor,2022-07-29,126,3,23,-29,4,3:40,94,45,52,5372,Classical
43,"Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",Wolfgang Amadeus Mozart,2001-01-01,68,4,17,-25,4,5:30,99,57,68,5643,Classical
44,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Frédéric Chopin,2000-01-01,164,0,23,-31,19,4:19,99,66,3,5917,Classical
45,Il barbiere di Siviglia: Overture (Sinfonia),Gioachino Rossini,2003-01-01,92,14,32,-21,28,7:05,91,50,298,5525,Classical
46,"Turandot, SC 91 / Act III: ""Nessun dorma!""",Giacomo Puccini,1973-01-01,84,30,21,-13,8,2:57,96,60,79,3103,Classical
47,"Peer Gynt, Op. 23: Act II, 7, In the Hall of the Mountain King",Edvard Grieg,1989,104,15,44,-21,36,2:33,96,50,284,953,Classical
48,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor",Niccolò Paganini,2000-02-01,111,13,47,-18,43,4:29,98,55,144,7291,Classical
49,"Dolly, Op. 56: 1. Berceuse",Gabriel Fauré,2015-01-01,63,1,37,-34,28,2:57,100,65,123,9978,Classical
50,"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",Johann Sebastian Bach,2021-02-12,71,6,31,-26,57,2:20,99,54,95,189,Classical
51,"Symphonic Variations on an African Air, Op. 63",Samuel Coleridge-Taylor,1993-01-01,121,3,22,-26,5,20:16,96,45,470,3919,Classical
52,The Rite of Spring: Part One: Adoration of the Earth: Introduction,Igor Stravinsky,2015-10-09,87,2,10,-30,3,3:29,95,47,80,5068,Classical
53,"Rêverie, L. 68: Rêverie",Claude Debussy,2012-01-01,69,1,30,-32,7,4:17,99,62,71,2145,Classical
54,Violin Concerto No. 10 in G Major: Largo,Joseph Boulogne Chevalier de Saint-Georges,2004-08-01,186,5,21,-24,15,6:38,93,51,145,6517,Classical
55,"The Gadfly Suite, Op. 97a: VIII. Romance",Dmitri Shostakovich,2019-05-24,170,7,12,-24,4,3:15,97,48,14,8610,Classical
56,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",Antonio Vivaldi,2008,158,16,48,-19,21,3:24,81,59,9,9547,Classical
57,Young Person's Guide To The Orchestra,Benjamin Britten,2007-08-03,77,12,22,-19,6,17:31,94,46,146,5114,Classical
58,Rhapsody In Blue,George Gershwin,2012-01-01,75,26,31,-15,12,14:50,98,41,299,7946,Classical
59,"Piano Concerto in C-Sharp Minor, FP 146: I. Allegretto commodo - Live",Francis Poulenc,2018-08-01,86,8,19,-23,6,9:40,97,44,53,2286,Classical
60,"Pelléas et Mélisande, Op. 80: 4. Sicilienne",Gabriel Fauré,1988-01-01,102,2,16,-34,6,3:53,94,45,227,8026,Classical
61,"Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse",Pyotr Ilyich Tchaikovsky,2008-09-24,66,12,24,-22,19,3:29,93,49,90,9678,Classical
62,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Ludwig van Beethoven,1995-01-01,98,32,25,-16,19,7:22,96,60,160,864,Classical
63,"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso - Live at Konzerthaus Berlin / 2018",Ludwig van Beethoven,2019-09-13,84,4,17,-27,4,7:54,98,46,240,4960,Classical
64,On the Nature of Daylight,Max Richter,2018-05-11,65,34,7,-13,3,6:12,15,64,287,9377,Classical
65,"St. Matthew Passion, BWV 244 / Part Two: ""Erbarme dich""",Johann Sebastian Bach,1987-01-01,95,6,24,-25,8,7:03,94,43,126,6021,Classical
66,"Hungarian Dance No. 5 in G Minor, WoO 1, No. 5",Johannes Brahms,1999-01-01,107,5,35,-19,30,2:31,90,51,196,1562,Classical
67,"Cello Concerto No.1, Op.107: 1. Allegretto",Dmitri Shostakovich,1985-01-01,126,16,46,-24,37,6:00,96,43,134,6457,Classical
68,"Goldberg Variations, BWV 988: Aria da capo - 1981 Version",Johann Sebastian Bach,2002-08-27,135,1,44,-37,28,3:44,100,44,154,5237,Classical
69,"Cello Concerto In B Minor, Op. 104, B. 191: I. Allegro",Antonín Dvořák,2021-04-30,121,13,23,-20,6,15:42,96,44,10,3276,Classical
70,Piazzolla: Libertango,Alison Balsom,2017-05-26,149,32,37,-14,24,4:34,93,44,300,2002,Classical
71,Symphony No. 3 in C Minor: II. Andante ma non troppo,Florence Beatrice Price,2021-09-24,88,3,10,-25,4,9:33,98,43,54,1231,Classical
72,"Mephisto Waltz No. 1, S. 514",Franz Liszt,2011-05-20,132,15,36,-20,4,11:03,98,46,249,369,Classical
73,"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live",Antonín Dvořák,2000-01-01,84,0,15,-36,4,12:55,89,44,113,1733,Classical
74,Merry Christmas Mr. Lawrence (Arr. Metcalfe),Jess Gillam,2019-11-01,106,6,34,-18,20,4:37,98,47,147,2359,Classical
75,"Tsar Saltan, Op. 57: Flight of the Bumblebee",André Previn,1995-08-15,83,11,46,-22,48,1:24,98,44,301,3663,Classical
76,"Symphony No. 5 in E-Flat Major, Op. 82: 3. Allegro molto",Jean Sibelius,1975-01-01,94,14,16,-21,9,8:02,87,45,471,3456,Classical
77,"String Sextet in D Minor, Op. 70, ""Souvenir de Florence"": I. Allegro con spirito",Pyotr Ilyich Tchaikovsky,2016-03-04,109,24,35,-16,33,10:26,89,47,170,6484,Classical
78,"Sonata for 2 Pianos in D Major, K. 448/375a: I. Allegro con spirito",Wolfgang Amadeus Mozart,1991-01-01,132,17,38,-21,56,8:23,99,49,129,6931,Classical
79,Hummel: Trumpet Concerto In E Flat - Iii Rondo,Johann Nepomuk Hummel,2007-11-12,144,25,50,-18,72,3:45,98,44,307,5687,Classical
80,"Widmung, Op. 25 No. 1",Robert Schumann,2021-01-25,74,3,24,-23,4,3:58,99,49,8,7897,Classical
81,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",Antonín Dvořák,1991-01-01,0,8,0,-19,0,7:13,76,60,209,5388,Classical
82,"Delius: 2 Pieces for Small Orchestra: No. 1, On Hearing the First Cuckoo in Spring",Frederick Delius,2012-03-05,77,4,7,-28,4,5:50,85,54,81,5267,Classical
83,"Symphony No. 6 in F Major, Op. 68 ""Pastoral"": I. Awakening of Cheerful Feelings Upon Arrival in the Country: Allegro ma non troppo",Ludwig van Beethoven,2015-10-02,115,4,30,-24,19,11:57,93,43,303,1495,Classical
84,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,1990-01-01,129,5,41,-26,10,4:09,99,46,74,2495,Classical
85,"Violin Concerto in E Minor, Op. 64, MWV O 14: 1. Allegro molto appassionato",Felix Mendelssohn,2011-01-01,102,14,29,-20,17,12:08,92,46,28,6861,Classical
86,"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio",Wolfgang Amadeus Mozart,1998-01-01,89,2,10,-26,4,8:52,98,43,186,392,Classical
87,"Respighi: Pini di Roma, P. 141: III. I pini del Gianicolo",Ottorino Respighi,2007-10-05,81,1,8,-36,3,7:42,90,46,25,7946,Classical
88,"The Nutcracker, Op. 71, TH.14 / Act 2: No. 12b Coffee (Arabian Dance)",Pyotr Ilyich Tchaikovsky,1998-10-05,98,1,16,-34,4,3:11,94,44,255,891,Classical
89,"Violin Concerto No. 1 in G minor, Op. 26: 1. Vorspiel (Allegro moderato)",Max Bruch,2013-01-01,170,10,17,-21,5,7:54,86,37,82,898,Classical
90,"Ave Maria, D. 839",Franz Schubert,2022-09-21,73,14,12,-16,4,4:17,99,42,75,955,Classical
91,Orfeo Ed Euridice: Dance of the Blessed Spirits (Act II),Christoph Willibald Gluck,1995-01-01,91,7,20,-27,9,6:49,97,39,55,8613,Classical
92,"Comptine d'un autre été, l'après-midi",Yann Tiersen,2001-04-23,101,19,48,-15,5,2:21,99,72,308,6611,Classical
93,Appalachian Spring: VII. Doppio movimento,Aaron Copland,1960,78,12,19,-15,25,3:03,98,45,148,4485,Classical
94,Nascence,Austin Wintory,2012,106,11,18,-18,4,1:47,94,56,310,5313,Classical
95,Speaking Unto Nations (Beethoven Symphony no 7 - II ),Ludwig van Beethoven,2022-11-15,83,2,10,-21,4,5:03,51,21,378,8361,Classical
96,"Symphony No. 3 in F Major, Op. 90: I. Allegro con brio - Un poco sostenuto - Tempo I",Johannes Brahms,2013-01-01,179,10,16,-16,6,11:44,98,35,345,5730,Classical
97,"Carmen, Act I: No.5 Habanera : L'amour est un oiseau rebelle (Carmen/Cigarières/Jeunes gens/Dragons)",Georges Bizet,2003-02-25,124,6,36,-22,19,4:35,98,51,83,4931,Classical
98,"4 Impromptus, Op. 90, D.899: No. 4 in A Flat Major: Allegretto",Franz Schubert,1983-01-01,125,2,34,-27,4,8:18,99,51,143,423,Classical
99,"Tchaikovsky: 1812 Overture in E-Flat Major, Op. 49",Pyotr Ilyich Tchaikovsky,1996-01-01,71,18,17,-19,8,15:06,89,51,320,6541,Classical
100,Parce Mihi Domine,Jan Garbarek,1994-09-01,129,7,19,-19,4,6:42,100,50,311,6820,Classical
101,"Organ Sonata No. 4, BWV 528: II. Andante [Adagio] (Transcr. by August Stradal)",Johann Sebastian Bach,2018-09-07,71,4,38,-23,6,5:27,99,53,185,769,Classical
102,The Godfather: V. Love Theme,Nino Rota,1997,83,6,10,-21,5,2:50,96,50,149,2221,Classical
103,"The Hebrides, Op. 26 (Fingal's Cave)",Felix Mendelssohn,2011-01-01,124,15,22,-18,11,10:16,84,42,274,561,Classical
104,"Symphony No. 3 in C Minor, Op. 78 ""Organ Symphony"": 2b. Maestoso - Più allegro - Molto allegro",Camille Saint-Saëns,2006-01-01,104,23,22,-18,13,7:49,87,42,304,6333,Classical
105,"Sibelius: Finlandia, Op. 26",Jean Sibelius,2001-09-01,150,13,18,-19,6,8:06,90,43,924,2592,Classical
106,"Cavatina (From ""The Deer Hunter"")",Stanley Myers,2019-05-24,88,4,37,-31,36,3:24,99,43,312,3509,Classical
107,"Rhapsodie Orientale, Op. 29: 1. Andante",Alexander Glazunov,1996-01-01,89,2,10,-31,4,4:32,98,42,56,4555,Classical
108,Pushkin's Garland: Reveille,Georgy Sviridov,1995-07-14,103,1,15,-30,3,5:33,98,42,150,9073,Classical
109,"St. Paul's Suite, Op. 29 No. 2, H 118: 3. Intermezzo: Andante con moto",Gustav Holst,1993-12-01,88,5,18,-23,15,4:10,67,40,39,911,Classical
