#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
58,HOTEL LOBBY (Unc & Phew),Quavo,2022-10-07,128,65,83,-4,14,2:23,12,78,55,2329,Pop
59,Bones,Imagine Dragons,2022-07-01,114,75,77,-4,59,2:45,2,85,380,6319,Pop
60,Sunroof,Nicky Youre,2021-12-03,131,71,77,-5,84,2:43,35,89,56,1004,Pop
61,Here With Me,d4vd,2022-09-22,132,47,57,-8,29,4:02,53,86,1204,6854,Pop
62,Stick Season,Noah Kahan,2022-07-08,118,50,66,-7,80,3:02,80,78,57,2775,Pop
63,Jimmy Cooks (feat. 21 Savage),Drake,2022-06-17,166,67,53,-5,37,3:38,0,90,503,8500,Pop
64,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,122,57,58,-7,39,3:28,58,82,148,4983,Pop
65,Betty (Get Money),Yung Gravy,2022-06-10,102,77,72,-7,58,2:26,1,82,84,3922,Pop
66,Tomorrow 2 (with Cardi B),GloRilla,2022-09-23,160,82,79,-4,69,3:30,7,81,149,8616,Pop
67,Heat Waves,Glass Animals,2020-06-29,81,53,76,-7,53,3:59,44,83,85,5469,Pop
68,Static,Steve Lacy,2022-07-15,79,31,34,-13,22,2:37,43,85,513,6995,Pop
69,Me Porto Bonito,Bad Bunny,2022-05-06,92,71,91,-5,43,2:59,9,95,514,896,Pop
70,In My Head,Juice WRLD,2022-10-28,160,55,63,-6,35,3:12,27,84,151,1790,Pop
71,Vigilante Shit,Taylor Swift,2022-10-21,80,28,80,-11,16,2:45,17,88,251,1978,Pop
72,i'm yours sped up,Isabel LaRosa,2022-10-28,129,75,39,-8,64,2:08,11,80,753,7274,Pop
73,Bad Idea,Dove Cameron,2022-10-28,97,63,80,-7,63,2:36,3,73,86,9610,Pop
74,Too Well,Reneé Rapp,2022-11-11,121,62,67,-5,39,2:37,13,62,58,4261,Pop
75,Remember - Acoustic / Sped Up,Becky Hill,2022-10-21,137,53,60,-7,55,2:34,81,72,34,5396,Pop
76,Teenage Dream,Stephen Dawes,2022-06-02,112,36,62,-10,24,2:58,38,81,322,1517,Pop
77,deathmatch,Nessa Barrett,2022-11-18,180,90,62,-6,66,2:42,8,54,14,7586,Pop
78,Nonsense - Sped Up Version,Sabrina Carpenter,2022-11-14,166,84,54,-2,60,2:18,3,57,87,5209,Pop
79,Bad Habit,Steve Lacy,2022-07-15,169,49,69,-7,70,3:52,61,88,1016,7520,Pop
80,Bejeweled,Taylor Swift,2022-10-21,164,56,70,-9,43,3:14,6,88,317,7015,Pop
81,Pistol,Cigarettes After Sex,2022-11-15,110,44,65,-12,36,3:54,52,65,323,4415,Pop
82,AVA,Natalie Jane,2022-11-18,87,47,58,-6,23,2:39,16,67,152,9242,Pop
83,Treat People With Kindness,Harry Styles,2019-12-13,122,87,65,-4,70,3:17,13,71,301,3932,Pop
84,World's Smallest Violin,AJR,2021-03-26,116,70,68,-7,68,3:01,12,76,89,104,Pop
85,Music For a Sushi Restaurant,Harry Styles,2022-05-20,107,72,72,-5,36,3:14,26,83,411,9741,Pop
86,Silver Tongues,Louis Tomlinson,2022-11-09,160,82,49,-5,41,3:25,1,68,324,8824,Pop
87,dumb dumb,mazie,2021-08-25,122,47,78,-8,59,2:05,22,76,59,2014,Pop
88,Self Dysmorphia,Mckenna Grace,2022-11-18,80,66,57,-5,74,2:49,1,45,325,935,Pop
89,Midnight Rain,Taylor Swift,2022-10-21,140,37,64,-12,18,2:55,72,68,397,4393,Pop
90,Summertime Sadness - Sped Up,Lana Del Rey,2022-09-26,150,84,51,-5,34,3:17,3,70,153,3725,Pop
91,It's Corn,Tariq,2022-08-28,102,83,74,-8,74,2:51,0,71,326,6809,Pop
92,Wannabe,why mona,2019-04-01,170,72,58,-7,47,3:37,19,73,327,4589,Pop
93,Better Version (feat. Kelsea Ballerini),FLETCHER,2022-11-18,87,36,51,-9,34,2:54,85,54,35,8249,Pop
94,If I Died Last Night,Jessie Murph,2022-11-04,124,47,74,-8,33,2:45,46,70,60,3298,Pop
95,if you ask me to,charli d'amelio,2022-10-26,129,38,50,-14,17,3:12,59,70,328,6200,Pop
96,NO,Meghan Trainor,2017-05-12,92,80,56,-4,66,3:34,1,74,515,7905,Pop
