#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
61,Go!,NEFFEX,2022-03-30,90,88,79,-4,59,2:41,4,63,146,3367,Anime
62,A Cruel Angel's Thesis (Director's Edit Version),Yoko Takahashi,2019-06-21,128,68,65,-9,59,4:05,3,63,27,6211,Anime
63,Led,GOTOU寄生獣,2019-08-10,100,66,62,-7,9,2:15,0,63,147,5971,Anime
64,V-12,Lil Dew',2021-03-12,100,49,62,-9,38,2:20,24,63,148,3796,Anime
65,MUKANJYO,Survive Said The Prophet,2019-08-02,95,96,47,-4,31,3:12,0,63,28,2153,Anime
66,i know you hate me,midwxst,2022-02-23,94,58,52,-5,79,2:05,52,62,149,1324,Anime
67,Bars No Jutsu,Louis Capone,2020-08-27,134,77,69,-7,64,2:29,22,61,150,5978,Anime
68,Let Me Hear,"Fear, and Loathing in Las Vegas",2015-09-30,184,100,18,1,30,3:46,0,60,151,7932,Anime
69,Dead on Arrival,KUTE,2022-05-13,100,90,71,-4,41,2:53,1,60,152,3863,Anime
70,Naruto Bluebird Freestyle,Khantrast,2020-07-31,148,94,71,-5,33,1:43,21,63,528,6419,Anime
71,chichen itza,zecki,2021-10-18,124,68,88,-2,78,2:12,17,60,153,6402,Anime
72,Baby My Phone,Yameii Online,2021-01-14,85,67,43,-8,23,3:36,18,60,154,6966,Anime
73,99.9,MOB CHOIR,2019-03-06,168,94,49,-3,68,3:09,0,60,155,7258,Anime
74,Nikes,Nimstarr,2021-02-12,123,38,98,-11,98,2:20,48,59,156,103,Anime
75,OLIVIA,Softwilly,2021-11-13,161,88,55,-5,46,2:24,12,59,529,9175,Anime
76,KANATA HALUKA,RADWIMPS,2022-11-10,80,54,47,-7,32,5:56,63,49,1,3709,Anime
77,SOUVENIR,BUMP OF CHICKEN,2022-09-29,158,94,62,-5,96,4:24,1,76,5,5222,Anime
78,Rendezvous,Kanaria,2022-11-16,114,53,55,-7,96,2:12,7,56,157,590,Anime
79,アイウエ,MAISONdes,2022-10-14,167,97,55,-1,65,3:42,18,66,44,3961,Anime
80,第ゼロ感,10-FEET,2022-11-08,150,95,43,-3,31,4:48,0,55,166,9836,Anime
81,祝福,YOASOBI,2022-10-01,170,96,55,-3,54,3:16,2,77,214,3894,Anime
82,Breeze - insert song from SPY x FAMILY (Original Television Soundtrack),(K)NoW_NAME,2022-11-13,123,86,59,-4,45,3:24,8,37,45,6897,Anime
83,スカー,キタニタツヤ,2022-10-18,193,96,41,-3,41,4:19,1,65,46,4455,Anime
84,残機,ZUTOMAYO,2022-10-18,141,90,67,-3,85,3:50,40,75,29,3429,Anime
85,錠剤,TOOBOE,2022-11-02,100,93,58,-3,68,3:25,2,68,167,2134,Anime
86,刃渡り2億センチ(TV edit),マキシマム ザ ホルモン 一部のアニメテーマ専用仮設チャンネル,2022-10-26,146,90,40,-3,54,1:30,3,69,168,7968,Anime
87,ひたむき,SUPER BEAVER,2022-10-02,94,98,54,-3,66,4:11,0,62,47,9917,Anime
88,蒼穹のファンファーレ,FictionJunction,2022-10-28,145,83,40,-6,8,5:19,1,53,48,2117,Anime
89,ギターと孤独と蒼い惑星,結束バンド,2022-11-06,97,97,51,-2,39,3:49,1,63,49,2208,Anime
90,色彩,yama,2022-10-02,117,93,58,-3,87,3:12,18,75,30,2063,Anime
91,Suzume,RADWIMPS,2022-11-10,78,41,56,-7,36,3:59,65,54,109,2156,Anime
92,トウキョウ・シャンディ・ランデヴ,MAISONdes,2022-10-21,137,97,73,-2,91,3:05,4,62,530,8154,Anime
93,タイムカプセル,Earphones,2022-11-18,125,55,66,-7,52,4:16,79,29,169,9072,Anime
94,Alive,ReoNa,2022-11-05,150,74,35,-6,29,4:19,0,55,15,7173,Anime
95,PRIDE,Novelbright,2022-11-09,187,97,33,-1,44,3:37,0,50,170,2931,Anime
96,ギリギリRide it out,FANTASTICS from EXILE TRIBE,2022-11-16,120,95,56,-4,71,3:51,0,39,171,530,Anime
97,In the Back Room,syudou,2022-11-09,169,98,49,-2,55,3:26,6,64,172,5791,Anime
98,I Really Want to Stay at Your House,Rosa Walton,2020-12-18,125,74,49,-7,13,4:07,0,84,173,5733,Anime
99,SKETCH,Kiro Akiyama,2022-10-08,94,75,61,-3,72,3:58,15,63,50,8333,Anime
100,心臓,Eir Aoi,2022-10-19,95,93,71,-5,54,3:34,12,55,31,5681,Anime
101,最果て,SennaRin,2022-10-18,116,87,69,-5,62,3:00,9,59,174,2942,Anime
102,Ladder,Anonymouz,2022-10-31,108,97,57,-2,67,3:40,4,44,175,3363,Anime
103,edge of chainsaw,Kensuke Ushio,2022-10-26,170,85,25,-6,47,3:10,0,57,176,4936,Anime
104,Car♡Wash♡Girl,Sumire Uesaka,2022-10-26,123,95,69,-4,85,3:37,1,35,51,2275,Anime
105,SeishunKippu,Mafumafu,2022-10-26,148,93,59,-3,80,4:05,2,46,52,2043,Anime
106,HIGHEST,OxT,2022-10-26,180,95,40,-5,53,3:37,1,48,32,6191,Anime
107,Speak Out meets Giga,渕上 舞,2022-10-26,132,94,74,-3,71,2:45,3,45,177,8136,Anime
108,Stuck on you,Nowlu,2022-10-11,106,70,70,-7,52,3:06,71,55,178,5079,Anime
109,鍋奉行,WEDNESDAY CAMPANELLA,2022-10-19,180,88,63,-5,52,2:22,1,47,179,8770,Anime
110,LEATHER COVER,Kashitaro Ito,2022-11-02,91,38,51,-6,42,4:23,92,36,180,3212,Anime
111,KAMIGAMI-神噛- - TV edit,MAXIMUM THE HORMONE,2021-06-24,120,99,57,-3,20,1:34,0,49,181,9291,Anime
112,NEVER SAY GOODBYE,ALI,2022-10-03,102,91,53,-3,35,4:50,5,56,53,8315,Anime
113,君よ 気高くあれ,シユイ,2022-10-09,113,94,28,-3,28,3:37,0,57,182,5145,Anime
114,カオスが極まる,UNISON SQUARE GARDEN,2022-10-19,98,96,44,-4,25,3:51,1,62,54,5186,Anime
115,いつしか,Daichi Miura,2022-10-24,138,46,56,-7,37,4:01,30,56,183,3788,Anime
116,Z.E.R.O.,BLUE ENCOUNT,2022-09-30,91,97,41,-3,19,4:05,0,48,327,3666,Anime
117,デイドリーム ビリーヴァー,FLOW,2022-10-02,128,92,56,-2,63,3:37,2,49,6,2144,Anime
118,すべてがそこにありますように。,THE SPELLBOUND,2022-10-03,178,94,30,-5,18,3:45,0,50,184,2638,Anime
119,THE ENTERTAINMENT,Mamoru Miyano,2022-11-02,112,91,59,-3,76,3:26,29,41,185,1767,Anime
120,Irony - From CrosSing,Ayana Taketatsu,2022-10-26,134,93,58,-4,55,4:20,58,38,186,8143,Anime
121,青春コンプレックス,結束バンド,2022-10-09,190,94,37,-2,46,3:25,0,63,531,3910,Anime
122,VISIONS (feat. 寺島拓篤),熊田茜音,2022-10-28,185,96,42,-3,71,3:36,1,43,187,2954,Anime
123,Keep going,04 Limited Sazabys,2022-09-28,99,96,30,-2,47,2:40,0,51,188,3137,Anime
124,Tear of Will,Saori Hayami,2022-10-07,136,57,38,-6,12,4:29,38,42,189,6175,Anime
