#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
59,Tripping Over Air,Aidan Bissett,2022-09-09,117,80,62,-5,60,3:02,0,71,156,8379,Rock
60,curious/furious,WILLOW,2022-09-09,142,75,55,-11,69,3:05,7,62,149,993,Rock
61,Sick of U (with Oliver Tree),BoyWithUke,2022-09-30,93,81,68,-3,60,2:49,28,79,157,8579,Rock
62,Natural Born Killer,Highly Suspect,2022-09-09,195,74,20,-5,16,3:16,0,58,763,4442,Rock
63,sail away,lovelytheband,2022-06-24,120,84,74,-5,96,2:59,25,70,158,4711,Rock
64,Love Abuser (Save Me),Royal & the Serpent,2022-10-28,167,82,31,-3,46,3:07,0,48,224,1399,Rock
65,Cut Deep,Matt Maeson,2022-08-26,160,83,58,-4,60,2:57,57,59,159,3381,Rock
66,Tissues,YUNGBLUD,2022-08-30,90,91,61,-3,82,3:35,1,66,298,498,Rock
67,tired of california,Nessa Barrett,2022-10-14,92,73,71,-6,64,3:11,23,66,22,4279,Rock
68,"don't sleep, repeat (feat. Machine Gun Kelly)",44phantom,2022-08-19,145,72,67,-4,41,2:29,24,66,60,5871,Rock
69,Did I Make You Up?,half•alive,2022-10-13,95,62,72,-6,29,2:30,46,62,160,6094,Rock
70,Troubled Man,Milky Chance,2022-09-21,124,65,96,-7,89,2:35,37,60,161,7853,Rock
71,October Passed Me By,girl in red,2022-10-14,156,37,45,-13,20,2:46,76,77,162,9397,Rock
72,Surefire,Wilderado,2021-10-15,126,70,66,-6,72,4:01,1,54,163,2478,Rock
73,Thursday,Starcrawler,2022-09-16,165,94,42,-3,67,2:22,0,40,164,4938,Rock
74,Everybody's Cool,Two Door Cinema Club,2022-09-02,106,71,70,-4,56,4:22,5,53,165,4258,Rock
75,Dummy,The Regrettes,2022-11-11,95,60,77,-6,81,3:16,58,45,166,4294,Rock
76,Run Away to Mars,TALK,2021-06-23,119,38,55,-11,28,3:34,53,77,167,1102,Rock
77,Morning Blue,Giant Rooks,2022-07-08,108,86,63,-3,71,3:37,8,62,168,4680,Rock
78,Leader of the Pack,Wunderhorse,2022-10-07,95,97,51,-4,59,3:03,0,52,23,6148,Rock
79,Growing/Dying,The Backseat Lovers,2022-08-19,90,40,47,-8,24,3:32,2,58,169,3288,Rock
80,It Ain't Over,The Black Keys,2022-05-13,120,56,76,-7,51,3:49,3,56,170,6809,Rock
81,Bones,Imagine Dragons,2022-07-01,114,75,77,-4,59,2:45,2,85,764,5908,Rock
82,You Make Me Feel Like It’s Halloween,Muse,2022-08-26,123,94,51,-3,53,3:00,0,67,225,244,Rock
83,SINS,Red Leather,2022-08-26,176,71,50,-4,65,2:58,13,64,61,7011,Rock
84,SICK OF IT*,Jean Dawson,2022-10-07,95,99,46,-4,33,2:09,0,52,300,7659,Rock
85,All Comes Crashing,Metric,2022-07-08,111,69,70,-7,30,4:23,1,55,453,6191,Rock
86,Stars,Andrew McMahon in the Wilderness,2022-08-17,81,63,51,-7,38,4:30,0,47,62,9768,Rock
87,Don't Let The Light Go Out,Panic! At The Disco,2022-08-19,118,59,49,-4,18,3:50,0,64,171,3208,Rock
88,Skinny Little Missy,Nickelback,2022-11-18,84,88,56,-5,61,3:38,0,53,226,5007,Rock
89,Beyond the Vale,The Smashing Pumpkins,2022-11-15,115,71,65,-7,76,3:43,0,52,765,2850,Rock
90,Break the Mold,Saint Asonia,2022-11-18,105,91,53,-4,46,3:00,0,43,172,5918,Rock
91,Sleepwalking,Smash Into Pieces,2022-11-18,92,90,43,-5,33,3:47,0,48,173,7621,Rock
92,Sensation,✝✝✝ (Crosses),2022-11-18,136,52,52,-6,9,4:36,0,44,63,1091,Rock
93,Bull,Enter Shikari,2022-11-16,113,70,34,-6,45,3:11,2,47,174,6879,Rock
94,Dressed to Kill,The Wombats,2022-11-18,150,79,52,-7,73,2:53,0,48,175,1897,Rock
95,Taste the Money,FIDLAR,2022-11-18,95,88,35,-5,40,2:36,0,38,176,1574,Rock
96,Fingers of Steel,shame,2022-11-15,127,93,36,-6,19,4:21,0,44,177,5355,Rock
97,Where Do I Sign?,Weathers,2022-11-16,180,77,41,-5,52,3:12,0,43,178,2423,Rock
98,Floating Like,Arkells,2022-11-17,189,80,46,-4,83,3:04,0,37,64,8758,Rock
99,From Hell to Here,HIMALAYAS,2022-11-18,166,73,18,-5,53,2:56,0,34,65,8769,Rock
100,Guiding Light,Caskets,2022-11-18,108,89,52,-6,30,4:22,0,47,180,3446,Rock
101,T Love - Extended,Quarters of Change,2022-11-18,121,90,64,-5,50,5:59,0,33,181,1025,Rock
102,The Dominoes,Mustard Service,2022-11-18,150,96,51,-6,91,2:12,0,36,182,7272,Rock
103,SHOUT,girlfriends,2022-11-18,135,91,63,-4,67,2:26,0,39,66,4290,Rock
104,Daylight,Birds Of Tokyo,2022-11-18,112,76,57,-5,57,4:03,13,32,183,2862,Rock
105,Party Scene,Luca Brasi,2022-11-16,130,90,49,-2,46,2:57,1,32,184,34,Rock
106,Ethel,The Murder Capital,2022-11-16,120,68,57,-9,23,4:29,1,36,185,1279,Rock
107,The Kingdom,DEADLETTER,2022-11-18,128,57,72,-11,61,3:24,1,24,186,9974,Rock
108,SWALLOWS – WHERE ARE THE SWALLOWS GONNA BUILD THEIR NEST,The Inspector Cluzo,2022-11-18,174,27,37,-11,35,4:18,54,26,187,7396,Rock
