#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
780,Fire and Rain,Rigmor Gustafsson,2003,120,31,60,-11,22,4:03,69,46,887,8732,Jazz
781,Time Coil,Takuya Kuroda,2022-09-21,102,90,62,-7,91,6:36,8,47,1637,9779,Jazz
782,Mean Green,Snarky Puppy,2022-09-30,96,85,78,-6,91,4:55,9,48,1130,7284,Jazz
783,Running In Fear From Imaginary Assailants,Charlie Hunter,2022-11-09,116,50,56,-10,40,3:42,52,36,1638,3844,Jazz
784,Shuffle Bubble,Lydian Collective,2022-10-07,94,35,43,-9,74,5:00,2,43,1039,5479,Jazz
785,Feel The Bern - Alt Take,Mike Casey,2022-10-24,128,60,55,-11,78,2:00,20,41,673,245,Jazz
786,Third Wave Mischief,Amir Bresler,2022-10-26,82,62,77,-11,62,5:01,4,40,266,4735,Jazz
787,Them Changes,Steve Gadd,2022-09-23,118,54,80,-11,78,5:42,27,42,888,2607,Jazz
788,Oozing,Amir Bresler,2022-11-11,85,59,54,-8,45,4:41,1,34,1639,2428,Jazz
789,Money Music,Surprise Chef,2022-10-14,89,55,53,-8,28,2:49,10,42,889,8143,Jazz
790,Watermelon Man,Herbie Hancock,1973-10-26,147,41,72,-11,72,6:29,26,54,1492,7089,Jazz
791,CATS GROOVE,Kaelin Ellis,2022-04-01,112,51,88,-12,83,1:32,49,52,890,7086,Jazz
792,The Revolution Will Not Be Televised,Gil Scott-Heron,1971-01-01,181,77,56,-10,96,3:07,51,52,891,5828,Jazz
793,Mister Magic,"Grover Washington, Jr.",1974,104,64,73,-8,87,9:02,1,49,124,7165,Jazz
794,Mysterious Vibes,The Blackbyrds,1994-01-01,93,32,59,-20,72,4:50,6,48,267,2468,Jazz
795,V-Neck Sweater,The Greyboy Allstars,2007-04-17,83,75,69,-8,91,2:35,2,48,268,572,Jazz
796,Wind Parade,Jordan Rakei,2020-08-28,96,57,65,-11,71,4:49,34,46,892,9330,Jazz
797,Red Baron,Billy Cobham,1973,84,40,61,-14,36,6:37,2,45,674,2433,Jazz
798,Funkier Than a Mosquito's Tweeter,Nina Simone,1974,139,55,53,-16,78,5:20,40,44,1827,6253,Jazz
799,Cineramascope,Galactic,2010-02-09,113,90,68,-6,84,3:15,1,44,893,266,Jazz
800,Expansions,Lonnie Liston Smith,1975-01-01,127,69,54,-12,92,6:07,11,44,269,2617,Jazz
801,Little Walter Rides Again,Medeski Scofield Martin & Wood,2006-09-26,94,73,63,-9,95,3:54,16,43,894,8875,Jazz
802,Always Let Me Go,Nine Sparks Riots,2021-02-12,94,40,56,-12,33,4:40,77,42,1904,2114,Jazz
803,Running Away - 12-Inch Long Version,Roy Ayers Ubiquity,1977,116,58,83,-11,96,6:54,16,42,895,7257,Jazz
804,Jimmy's Groove,Delvon Lamarr Organ Trio,2021-04-02,118,72,78,-9,98,6:17,48,41,125,9125,Jazz
805,New York Times - Remastered 2002,Bobbi Humphrey,2002-01-01,97,92,34,-8,53,6:54,8,41,1640,8768,Jazz
806,Mr. Funky samba,Banda Black Rio,1977,102,79,63,-6,94,3:39,15,40,896,6937,Jazz
807,The Message Continues,Nubya Garcia,2020-08-21,117,59,43,-10,34,6:45,20,40,63,1020,Jazz
808,Celestial Blues,Gary Bartz Ntu Troop,1971-01-01,93,60,58,-10,78,7:36,17,40,897,8389,Jazz
809,Toots,Unc D,2022-10-27,130,82,53,-10,56,5:19,18,39,1040,1466,Jazz
810,The Resurrection,Luke Smith,2022-03-31,88,47,73,-11,65,4:03,26,39,270,6497,Jazz
811,Pizza Pie,Let Your Hair Down,2021-08-27,168,85,38,-4,54,3:06,5,39,898,8842,Jazz
812,Chank,John Scofield,1998-01-01,120,60,67,-11,80,6:47,26,39,506,4914,Jazz
813,Cold As Weiss,Delvon Lamarr Organ Trio,2021-04-28,97,68,78,-8,86,2:40,22,38,1041,451,Jazz
814,Cucumber Slumber,Weather Report,1974,95,69,63,-12,94,8:21,46,38,126,3321,Jazz
815,Spare Tire,Ariel Posen,2021-07-30,112,82,78,-6,94,2:48,10,38,899,176,Jazz
816,Funk in the Hole,Roy Ayers,2018-12-01,182,98,49,-5,96,5:37,2,38,127,434,Jazz
817,Funky Snakefoot,Alphonse Mouzon,1973,105,89,70,-10,90,3:46,13,38,900,1055,Jazz
818,London Town,Light Of The World,1992-10-19,102,49,67,-13,73,4:31,37,38,901,9709,Jazz
819,"Squid Exit Music - 7"" radio edit",Redtenbacher's Funkestra,2022-02-28,91,42,78,-11,67,3:50,73,38,128,8150,Jazz
820,MXC.MMBL,Unc D,2022-09-02,92,57,75,-12,80,2:37,86,37,1828,5928,Jazz
