#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
52,Stop Thinking (feat. Lights),Seven Lions,2022-09-30,170,60,40,-6,19,4:53,31,58,14,5505,Dance/Electronic
53,Baila Conmigo,Tiësto,2022-07-29,128,86,65,-6,8,2:26,1,74,269,8495,Dance/Electronic
54,Turn On The Lights again.. (feat. Future),Fred again..,2022-07-29,132,89,68,-5,55,4:28,1,77,359,9809,Dance/Electronic
55,Forever And A Day,LP Giobbi,2022-08-16,125,55,66,-9,29,2:46,10,63,41,5521,Dance/Electronic
56,Lifetime,SG Lewis,2022-11-03,119,57,68,-7,65,4:46,0,60,546,7732,Dance/Electronic
57,Poison,Shygirl,2022-09-30,127,58,85,-11,49,2:48,4,55,84,9003,Dance/Electronic
58,Dancing In The Shadows,TSHA,2022-08-30,130,85,58,-6,53,4:37,0,55,547,2848,Dance/Electronic
59,Twin Flame,KAYTRANADA,2022-08-01,100,71,61,-7,33,3:52,1,63,162,9142,Dance/Electronic
60,People Ain't Dancing (feat. Kah-Lo),Billen Ted,2022-08-12,125,67,88,-7,79,2:35,6,63,350,3606,Dance/Electronic
61,It's Ours - Short Mix,ARTBAT,2022-10-14,127,86,31,-9,7,5:06,0,63,4,1668,Dance/Electronic
62,Picture in my mind,PinkPantheress,2022-08-10,129,65,73,-7,77,2:57,59,67,1290,568,Dance/Electronic
63,Baianá,Nia Archives,2022-09-30,170,89,53,-6,41,2:33,0,65,85,2594,Dance/Electronic
64,Nothing's Perfect,NGHTMRE,2022-09-08,154,75,54,-8,47,3:35,1,59,5,500,Dance/Electronic
65,Forgive Me (feat. Izzy Bizu),ODESZA,2022-07-22,105,83,66,-3,40,3:28,2,62,15,8823,Dance/Electronic
66,Power (Remember Who You Are) - From The Flipper’s Skate Heist Short Film,SPINALL,2022-09-09,151,77,65,-4,19,3:26,1,61,351,2846,Dance/Electronic
67,To Feel Again / Trois,Jon Hopkins,2022-09-29,130,87,50,-8,5,4:53,0,55,8,8256,Dance/Electronic
68,I Will,Devault,2022-08-12,126,84,67,-4,3,5:09,6,53,352,52,Dance/Electronic
69,Replay (with Dylan Matthew),SLANDER,2022-08-05,170,63,21,-8,11,4:01,0,54,42,4197,Dance/Electronic
70,Unholy (feat. Kim Petras) - Disclosure Remix,Sam Smith,2022-10-14,128,78,74,-7,18,3:54,0,68,353,7139,Dance/Electronic
71,ME WITHOUT U,Kaleena Zanders,2022-08-26,124,91,71,-2,73,2:36,2,56,354,8754,Dance/Electronic
72,Trompeta,San Pacho,2022-07-01,126,92,69,-6,46,3:09,0,60,43,4986,Dance/Electronic
73,Howl,Elderbrook,2022-09-02,127,66,63,-7,38,4:17,37,65,86,2730,Dance/Electronic
74,Consciousness - Eric Prydz Remix,Anyma,2022-08-17,126,87,62,-7,24,4:04,1,61,163,7163,Dance/Electronic
75,Apollo - Original Mix,Charlotte de Witte,2022-10-14,138,86,74,-8,5,7:01,3,61,164,8294,Dance/Electronic
76,Dance With Me,Kevin de Vries,2022-09-07,124,70,79,-7,47,6:32,0,63,355,608,Dance/Electronic
77,For One Night,Miane,2022-08-05,126,98,79,-5,89,2:53,3,53,165,9092,Dance/Electronic
78,MAMI,Chris Lorenzo,2022-07-22,126,94,76,-5,83,4:08,3,64,166,9063,Dance/Electronic
79,BUBBLEGUM,ESSEL,2022-08-19,126,80,84,-6,58,2:29,0,56,167,2773,Dance/Electronic
80,World Hold On - FISHER Rework,Bob Sinclar,2022-07-08,127,88,77,-5,90,2:58,1,72,356,7755,Dance/Electronic
81,My Feelings For You - Mark Knight Remix,Avicii,2022-07-15,124,95,73,-4,81,3:45,1,66,168,8687,Dance/Electronic
82,Gratitude,Nora En Pure,2022-08-12,124,94,62,-7,9,3:30,11,56,16,1883,Dance/Electronic
83,22 Love,Carla Monroe,2022-07-22,125,81,56,-5,58,2:17,13,51,357,9775,Dance/Electronic
84,All That Really Matters,ILLENIUM,2022-07-29,170,67,35,-5,23,4:04,12,67,9,5049,Dance/Electronic
85,Zorro,JADED,2022-09-02,125,88,69,-6,66,3:37,0,57,87,9059,Dance/Electronic
86,Better (feat. Teddy Swims),MK,2022-07-15,125,97,62,-3,76,3:02,7,66,358,7160,Dance/Electronic
87,ATK,Bonobo,2022-09-06,128,88,71,-9,58,4:05,0,57,169,7648,Dance/Electronic
88,Lost Without You (with Dean Lewis),Kygo,2022-07-08,118,57,62,-6,34,3:24,27,73,17,99,Dance/Electronic
89,Nowhere To Hide,Aluna,2022-07-22,112,72,80,-7,56,3:16,3,51,809,6536,Dance/Electronic
90,Day N Night,Afrojack,2022-08-12,126,87,71,-4,67,2:59,13,60,88,1805,Dance/Electronic
91,Be with You,Totally Enormous Extinct Dinosaurs,2022-09-09,120,76,65,-6,38,4:07,28,52,360,7608,Dance/Electronic
92,on & on,piri,2022-07-28,174,77,61,-8,82,2:15,15,72,89,1692,Dance/Electronic
93,Aguila ft. Cumbiafrica,HUGEL,2022-07-22,125,82,81,-6,21,2:49,0,64,44,1408,Dance/Electronic
94,BRAND NEW BITCH,COBRAH,2022-06-22,123,63,87,-7,50,3:16,5,60,361,3570,Dance/Electronic
95,Just Say,Coco & Breezy,2022-06-16,120,42,83,-10,51,2:46,5,65,170,1018,Dance/Electronic
96,Encounters,Yotto,2022-11-10,122,73,41,-8,3,4:06,0,52,171,351,Dance/Electronic
97,Tibet,ARTBAT,2022-11-18,124,92,73,-9,4,6:44,0,45,325,4276,Dance/Electronic
