#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
51,Some Day My Prince Will Come,Adriana Caselotti,1997-01-01,84,14,38,-19,34,1:54,77,54,35,3624,Disney
52,Belle,Emma Watson,2017-03-10,124,50,52,-8,33,5:33,82,62,36,5614,Disney
53,Show Yourself,Idina Menzel,2019-11-15,123,43,32,-7,17,4:21,72,68,370,7730,Disney
54,"Strangers Like Me - From ""Tarzan""/Soundtrack Version",Phil Collins,2021-05-28,121,81,59,-6,55,3:00,16,63,257,3387,Disney
55,"Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",Kristen Bell,2013-01-01,174,12,31,-16,17,3:27,85,69,197,683,Disney
56,Some Things Never Change,Kristen Bell,2019-11-15,90,54,57,-4,30,3:30,61,66,296,968,Disney
57,"Touch The Sky - From ""Brave""/Soundtrack",Julie Fowlis,2012-01-01,119,64,37,-8,33,2:31,14,63,37,6337,Disney
58,"Mother Knows Best - From ""Tangled""/Soundtrack Version",Donna Murphy,2010-01-01,69,26,40,-11,47,3:10,83,64,58,6666,Disney
59,A Star Is Born,Cheryl Freeman,1997-01-01,118,83,68,-6,73,2:04,38,57,59,9002,Disney
60,A Girl Worth Fighting For,Lea Salonga,1998-01-01,176,35,37,-17,85,2:26,56,62,106,6642,Disney
61,"I've Got a Dream - From ""Tangled""/Soundtrack Version",Mandy Moore,2010-01-01,134,54,60,-7,89,3:11,64,63,124,4799,Disney
62,When I Am Older,Josh Gad,2019-11-15,117,33,73,-7,43,1:51,71,65,168,3155,Disney
63,We're All In This Together,High School Musical Cast,2006-01-01,116,94,76,-6,81,3:51,5,64,20,5484,Disney
64,Arabian Nights,Bruce Adler,1992-01-01,129,20,51,-16,50,1:19,69,60,133,1968,Disney
65,The Bare Necessities,Phil Harris,1997-01-01,103,25,79,-18,55,4:51,77,60,60,4475,Disney
66,I Just Can't Wait to Be King,JD McCrary,2019-07-11,99,70,68,-8,75,3:23,14,59,134,1547,Disney
67,I2I,Tevin Campbell,1995-01-01,130,76,73,-8,78,4:01,4,62,61,3925,Disney
68,Poor Unfortunate Souls,Pat Carroll,2006-01-01,74,18,38,-17,37,4:52,77,61,135,3755,Disney
69,"Supercalifragilisticexpialidocious - From ""Mary Poppins""/Soundtrack Version",Julie Andrews,2013-01-01,157,72,52,-11,90,2:02,57,56,21,8653,Disney
70,You Never Know,Cast of High School Musical: The Musical: The Series,2022-08-03,162,69,48,-7,17,3:17,17,59,22,3734,Disney
